date,gold,fx,cpi,oil,set,gold_next,gold_lag1,gold_lag3,gold_roll7,gold_pct,fx_lag1,fx_lag3,fx_roll7,fx_pct,cpi_lag1,cpi_lag3,cpi_roll7,cpi_pct,oil_lag1,oil_lag3,oil_roll7,oil_pct,set_lag1,set_lag3,set_roll7,set_pct
2024-09-16,65764.08,34.7568,100.94,3.851561224489796,1435.530029296875,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1424.3900146484375,1415.4100341796875,1426.2442975725446,0.007820901953730086
2024-09-17,65764.08,34.7568,100.94,3.851561224489796,1436.5999755859375,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1435.530029296875,1421.5799560546875,1427.5242919921875,0.0007453318754930827
2024-09-18,65764.08,34.7568,100.94,3.851561224489796,1435.77001953125,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1436.5999755859375,1424.3900146484375,1428.1871512276787,-0.000577722447996698
2024-09-19,65764.08,34.7568,100.94,3.851561224489796,1454.8399658203125,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1435.77001953125,1435.530029296875,1432.0171421595983,0.013282034051169678
2024-09-20,65764.08,34.7568,100.94,3.851561224489796,1451.68994140625,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1454.8399658203125,1436.5999755859375,1437.199986049107,-0.002165203381862213
2024-09-23,65764.08,34.7568,100.94,3.851561224489796,1447.9000244140625,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1451.68994140625,1435.77001953125,1440.959995814732,-0.002610693154294519
2024-09-24,65764.08,34.7568,100.94,3.851561224489796,1462.0999755859375,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1447.9000244140625,1454.8399658203125,1446.347133091518,0.009807273245693526
2024-09-25,65764.08,34.7568,100.94,3.851561224489796,1461.5799560546875,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1462.0999755859375,1451.68994140625,1450.0685511997767,-0.0003556661924172255
2024-09-26,65764.08,34.7568,100.94,3.851561224489796,1455.030029296875,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1461.5799560546875,1447.9000244140625,1452.701416015625,-0.004481401602888013
2024-09-27,65764.08,34.7568,100.94,3.851561224489796,1450.1500244140625,65764.08,65764.08,65764.08,65764.08,0.0,34.7568,34.7568,34.7568,0.0,100.94,100.94,100.94,0.0,3.851561224489796,3.851561224489796,3.851561224489796,0.0,1455.030029296875,1462.0999755859375,1454.7557024274554,-0.0033538860260985404
